2018-10-10 18:24:57: -- Analysis Started by On File Change Incremental
2018-10-10 18:24:57: Changes: 28, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 71
2018-10-10 18:24:57: Left to Right: Copy File: 28 
2018-10-10 18:24:57: == Sync Started by On File Change Incremental
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/404.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/404.html' (2,891)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/categories/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/categories/index.html' (3,028)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/categories/index.xml' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/categories/index.xml' (473)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/categories/page/1/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/categories/page/1/index.html' (232)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/css/coder.min.578f8fce262e4c448c239b69661084c57507b89d51b8d04de15cd1d8f8135600.css' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/css/coder.min.578f8fce262e4c448c239b69661084c57507b89d51b8d04de15cd1d8f8135600.css' (6,756)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/file/installMATLAB.pdf' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/file/installMATLAB.pdf' (5,356,675)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/file/MATLAB.png' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/file/MATLAB.png' (355,469)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/file/Sample_Expriment_Report.docx' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/file/Sample_Expriment_Report.docx' (20,748)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/file/session_01.pdf' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/file/session_01.pdf' (7,400,524)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/file/water_measurement_manual.pdf' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/file/water_measurement_manual.pdf' (3,295,193)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/index.html' (3,509)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/index.xml' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/index.xml' (1,816)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/index.html' (3,296)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/index.xml' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/index.xml' (1,256)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/installmatlab/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/installmatlab/index.html' (3,395)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/installMATLAB.Rmd' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/installMATLAB.Rmd' (459)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/matlabreference/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/matlabreference/index.html' (3,120)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/MATLABReference.Rmd' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/MATLABReference.Rmd' (332)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/page/page/1/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/page/page/1/index.html' (214)
2018-10-10 18:24:57: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/post/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/post/index.html' (3,108)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/post/index.xml' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/post/index.xml' (1,039)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/post/page/1/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/post/page/1/index.html' (214)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/post/session_01/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/post/session_01/index.html' (3,599)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/post/session_01.Rmd' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/post/session_01.Rmd' (589)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/sitemap.xml' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/sitemap.xml' (688)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/tags/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/tags/index.html' (2,998)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/tags/index.xml' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/tags/index.xml' (449)
2018-10-10 18:24:58: Copy Over 'C:/Users/Pooya/Documents/GitHub/createMyWebsite/public/tags/page/1/index.html' -> 'C:/Users/Pooya/Documents/GitHub/shirazipooya.github.io/tags/page/1/index.html' (214)
2018-10-10 18:24:58: == Sync Complete. Time: 00:00:01, Speed: 15.8 MB/s, OK: 28, Errors: 0
2018-10-10 18:24:58: 
